#<COMMMAND/STRING>;Phase/Scenario;Tactic;Technique ID;Technique Name;Goal
 /add /domain;NP;Persistence;T1098;Account Manipulation;Create an NVISO account to not manipulate others and have persistence in the network
 asktgs;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;The asktgs action will build/parse a raw TGS-REQ/TGS-REP service ticket request using the specified TGT. This will allow to generate a valid ticket for a specified service
 asktgt;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;The asktgt action will build raw AS-REQ (TGT request) traffic for the specified user and encryption key. This will allow an attacker to impersonate a domain user
 dump;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;Extract current TGTs and service tickets if in an elevated context. If not elevated, service tickets for the current user are extracted
 harvest;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;Periodically extract all TGTs every 60 seconds, extract any new TGT KRB-CRED files, and keeps a cache of any extracted TGTs. Every interval, any TGTs that will expire before the next interval are automatically renewed
 klist;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;List detailed information on the current user's logon session and Kerberos tickets, if not elevated
 purge;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;Purge all Kerberos tickets from the current logon session
 tgtdeleg;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;Abuses the Kerberos GSS-API to retrieve a usable TGT for the current user without needing elevation on the host
 triage;NP;Credential Access;T1558;Steal or Forge Kerberos Tickets;Output a table of the current user's Kerberos tickets
[REDACTED];AO;Defense Evasion, Persistence, Privilege Escalation;T1078;Valid Accounts;Valid accounts were used in order to either gain initial access, establish persistence, or privilege escalate
\C$;NP;Lateral Movement;T1077;Windows Admin Shares;Interact with file shares and collect credentials, lateral move with administrative rights, via execute scheduled tasks or service execution
aadprt;NP;Credential Access;T1552.004;Unsecured Credentials: Cloud Instance Metadata API;Extract Azure AD PRT tokens from the machine to use for example in roadtools
adcs_enum;IF;Discovery;T1046;Network Service Discovery;Identification of Microsoft ADCS on the internal network
adcs_enum_com;IF;Discovery;T1046;Network Service Discovery;Enumerate CAs and templates in the AD using ICertConfig COM object
adcs_enum_com2;IF;Discovery;T1046;Network Service Discovery;Enumerate CAs and templates in the AD using IX509PolicyServerListManager COM object
AddMachineAccount;NP;Persistence;T1136.002;Create Account: Domain Account;Add a machine account to the domain. This is often done in combination with Resoucre Based Constrained Delegation
adv_audit_policies;IF;Discovery;T1016;System Network Configuration Discovery;Retrieve advanced security audit policies
arp;IF;Discovery;T1016;System Network Configuration Discovery;List ARP table
binPath=;NP;Execution;T1569.002;System Services: Service Execution;Modify the service to lateral move between devices within the network
blockdlls;IF;Execution, Defense Evasion;T1106, T1564;Execution through API;The Blockdll technique prevents the analysis of used process
